一	한 일	イチ・イツ	ひと(つ)	一つ	ひとつ	하나	N5	
二	두 이	ニ	ふた(つ)	二人	ふたり	두 사람	N5	
九	아홉 구	キュウ・ク	ここの(つ)	九月	くがつ	9월	N5	
七	일곱 칠	シチ	なな(つ)	七月	しちがつ	7월	N5	
人	사람 인	ジン・ニン	ひと	日本人	にほんじん	일본인	N5	
入	들 입	ニュウ	はい(る)・い(れる)	入口	いりぐち	입구	N5	
八	여덟 팔	ハチ	やっ(つ)	八月	はちがつ	8월	N5	
十	열 십	ジュウ	とお	十日	とおか	열흘·10일	N5	
三	석 삼	サン	みっ(つ)	三月	さんがつ	3월	N5	
上	위 상	ジョウ	うえ・あ(がる)	上手	じょうず	능숙함	N5	
下	아래 하	カ・ゲ	した・さ(げる)	下手	へた	서투름	N5	
大	클 대	ダイ・タイ	おお(きい)	大学	だいがく	대학	N5	
女	여자 녀	ジョ	おんな	女の人	おんなのひと	여자	N5	
山	메 산	サン	やま	富士山	ふじさん	후지산	N5	
川	내 천	セン	かわ	川	かわ	강	N5	
土	흙 토	ド	つち	土曜日	どようび	토요일	N5	
千	일천 천	セン	ち	千円	せんえん	천 엔	N5	
子	아들 자	シ	こ	子ども	こども	아이	N5	
小	작을 소	ショウ	ちい(さい)	小学校	しょうがっこう	초등학교	N5	
中	가운데 중	チュウ	なか	中国	ちゅうごく	중국	N5	
五	다섯 오	ゴ	いつ(つ)	五つ	いつつ	다섯	N5	
六	여섯 륙	ロク	むっ(つ)	六月	ろくがつ	6월	N5	
円	엔·둥글 원	エン	まる(い)	千円	せんえん	천 엔	N5	
天	하늘 천	テン	—	天気	てんき	날씨	N5	
日	날 일	ニチ・ジツ	ひ・か	日曜日	にちようび	일요일	N5	
月	달 월	ゲツ・ガツ	つき	月曜日	げつようび	월요일	N5	
木	나무 목	モク	き	木曜日	もくようび	목요일	N5	
水	물 수	スイ	みず	水曜日	すいようび	수요일	N5	
火	불 화	カ	ひ	火曜日	かようび	화요일	N5	
出	날 출	シュツ	で(る)・だ(す)	出口	でぐち	출구	N5	
右	오른 우	ウ・ユウ	みぎ	右	みぎ	오른쪽	N5	
四	넉 사	シ	よっ(つ)・よん	四月	しがつ	4월	N5	
