私	私::わたし:名詞 は::: 韓国::かんこく:名詞 人::じん:名詞 です::: 。:::
あなた	あなた:::名詞 の::: 名前::なまえ:名詞 は::: 何::なに:名詞 です::: か::: 。:::
友達	友達::ともだち:名詞 と::: 映画::えいが:名詞 を::: 見:見る:み:動詞 ます::: 。:::
家族	家族::かぞく:名詞 は::: 四::よん:名詞 人::にん:名詞 です::: 。:::
父	父::ちち:名詞 は::: 会社::かいしゃ:名詞 員::いん:名詞 です::: 。:::
母	母::はは:名詞 に::: 手紙::てがみ:名詞 を::: 書き:書く:かき:動詞 まし:ます:: た::: 。:::
兄	兄::あに:名詞 は::: 大学生::だいがくせい:名詞 です::: 。:::
姉	姉::あね:名詞 は::: 東京::とうきょう:名詞 に::: 住ん:住む:すん:動詞 で::: い:いる::動詞 ます::: 。:::
弟	弟::おとうと:名詞 は::: 今年::ことし:名詞 十::じゅう:名詞 歳::さい:名詞 です::: 。:::
妹	妹::いもうと:名詞 と::: 一緒::いっしょ:名詞 に::: 学校::がっこう:名詞 へ::: 行き:行く:いき:動詞 ます::: 。:::
子供	公園::こうえん:名詞 に::: 子供::こども:名詞 が::: 多い::おおい:形容詞 です::: 。:::
先生	先生::せんせい:名詞 に::: 質問::しつもん:名詞 し:する::動詞 まし:ます:: た::: 。:::
学生	私::わたし:名詞 は::: 学生::がくせい:名詞 です::: 。:::
会社員	兄::あに:名詞 は::: 会社::かいしゃ:名詞 員::いん:名詞 に::: なり:なる::動詞 まし:ます:: た::: 。:::
医者	医者::いしゃ:名詞 に::: 診:診る:み:動詞 て::: もらい:もらう::動詞 ます::: 。:::
人	あの::: 人::ひと:名詞 は::: 誰::だれ:名詞 です::: か::: 。:::
男	男の子::おとこのこ:名詞 が::: 三::さん:名詞 人::にん:名詞 い:いる::動詞 ます::: 。:::
女	女::おんな:名詞 の::: 人::ひと:名詞 が::: 待っ:待つ:まっ:動詞 て::: い:いる::動詞 ます::: 。:::
家	毎日::まいにち:名詞 七::なな:名詞 時::じ:名詞 に::: 家::いえ:名詞 を::: 出:出る:で:動詞 ます::: 。:::
学校	学校::がっこう:名詞 まで::: 歩い:歩く:あるい:動詞 て::: 行き:行く:いき:動詞 ます::: 。:::
会社	会社::かいしゃ:名詞 は::: 駅::えき:名詞 の::: 近く::ちかく:名詞 です::: 。:::
駅	駅::えき:名詞 で::: 友達::ともだち:名詞 を::: 待ち:待つ:まち:動詞 ます::: 。:::
病院	昨日::きのう:名詞 病院::びょういん:名詞 へ::: 行き:行く:いき:動詞 まし:ます:: た::: 。:::
銀行	銀行::ぎんこう:名詞 で::: お金::おかね:名詞 を::: 借り:借りる:かり:動詞 ます::: 。:::
店	この::: 店::みせ:名詞 は::: 安い::やすい:形容詞 です::: 。:::
部屋	部屋::へや:名詞 を::: 綺麗::きれい:名詞 に::: し:する::動詞 まし:ます:: た::: 。:::
トイレ	トイレ::といれ:名詞 は::: どこ:::名詞 です::: か::: 。:::
図書館	図書館::としょかん:名詞 で::: 本::ほん:名詞 を::: 借り:借りる:かり:動詞 まし:ます:: た::: 。:::
公園	公園::こうえん:名詞 で::: 犬::いぬ:名詞 と::: 遊び:遊ぶ:あそび:動詞 ます::: 。:::
空港	空港::くうこう:名詞 まで::: 車::くるま:名詞 で::: 行き:行く:いき:動詞 ます::: 。:::
大学	大学::だいがく:名詞 で::: 日本語::にほんご:名詞 を::: 勉強::べんきょう:名詞 し:する::動詞 ます::: 。:::
郵便局	郵便::ゆうびん:名詞 局::きょく:名詞 で::: 手紙::てがみ:名詞 を::: 出し:出す:だし:動詞 ます::: 。:::
国	どの::: 国::くに:名詞 から::: 来:来る:き:動詞 まし:ます:: た::: か::: 。:::
町	この::: 町::まち:名詞 は::: 静か::しずか:名詞 です::: 。:::
道	道::みち:名詞 が::: 分かり:分かる:わかり:動詞 ませ:ます:: ん::: 。:::
今日	今日::きょう:名詞 は::: 天気::てんき:名詞 が::: いい:::形容詞 です::: 。:::
明日	明日::あした:名詞 も::: 来:来る:き:動詞 て::: ください:くださる::動詞 。:::
昨日	昨日::きのう:名詞 は::: 忙しかっ:忙しい:いそがしかっ:形容詞 た::: です::: 。:::
朝	朝::あさ:名詞 六::ろく:名詞 時::じ:名詞 に::: 起き:起きる:おき:動詞 ます::: 。:::
昼	昼::ひる:名詞 に::: パン::ぱん:名詞 を::: 食べ:食べる:たべ:動詞 まし:ます:: た::: 。:::
夜	夜::よる:名詞 は::: 静か::しずか:名詞 に::: なり:なる::動詞 ます::: 。:::
今	今::いま:名詞 何::なん:名詞 時::じ:名詞 です::: か::: 。:::
毎日	毎日::まいにち:名詞 日本語::にほんご:名詞 を::: 勉強::べんきょう:名詞 し:する::動詞 ます::: 。:::
時間	時間::じかん:名詞 が::: あり:ある::動詞 ませ:ます:: ん::: 。:::
今年	今年::ことし:名詞 の::: 夏::なつ:名詞 は::: 暑い::あつい:形容詞 です::: 。:::
来年	来年::らいねん:名詞 日本::にっぽん:名詞 へ::: 行き:行く:いき:動詞 ます::: 。:::
去年	去年::きょねん:名詞 ここ:::名詞 に::: 来:来る:き:動詞 まし:ます:: た::: 。:::
週末	週末::しゅうまつ:名詞 は::: 家::いえ:名詞 で::: 休み:休む:やすみ:動詞 ます::: 。:::
午前	午前::ごぜん:名詞 中::ちゅう:名詞 に::: 電話::でんわ:名詞 し:する::動詞 ます::: 。:::
午後	午後::ごご:名詞 から::: 雨::あめ:名詞 が::: 降り:降りる:おり:動詞 ます::: 。:::
今朝	今朝::けさ:名詞 は::: 早く:早い:はやく:形容詞 起き:起きる:おき:動詞 まし:ます:: た::: 。:::
今晩	今晩::こんばん:名詞 何::なに:名詞 を::: 食べ:食べる:たべ:動詞 ます::: か::: 。:::
本	この::: 本::ほん:名詞 は::: 面白い::おもしろい:形容詞 です::: 。:::
ペン	ペン::ぺん:名詞 で::: 名前::なまえ:名詞 を::: 書き:書く:かき:動詞 ます::: 。:::
鞄	鞄::かばん:名詞 の::: 中::なか:名詞 に::: 辞書::じしょ:名詞 が::: あり:ある::動詞 ます::: 。:::
傘	雨::あめ:名詞 だ::: から::: 傘::かさ:名詞 を::: 持ち:持つ:もち:動詞 ます::: 。:::
靴	新しい::あたらしい:形容詞 靴::くつ:名詞 を::: 買い:買う:かい:動詞 まし:ます:: た::: 。:::
服	この::: 服::ふく:名詞 は::: 少し::すこし:副詞 高い::たかい:形容詞 です::: 。:::
財布	財布::さいふ:名詞 を::: 家::いえ:名詞 に::: 忘れ:忘れる:わすれ:動詞 まし:ます:: た::: 。:::
時計	時計::とけい:名詞 が::: 止まっ:止まる:とまっ:動詞 て::: い:いる::動詞 ます::: 。:::
携帯	携帯::けいたい:名詞 で::: 写真::しゃしん:名詞 を::: 撮り:撮る:とり:動詞 ます::: 。:::
写真	家族::かぞく:名詞 の::: 写真::しゃしん:名詞 を::: 見せ:見せる:みせ:動詞 ます::: 。:::
手紙	友達::ともだち:名詞 に::: 手紙::てがみ:名詞 を::: 書き:書く:かき:動詞 ます::: 。:::
新聞	朝::あさ:名詞 は::: 新聞::しんぶん:名詞 を::: 読み:読む:よみ:動詞 ます::: 。:::
辞書	辞書::じしょ:名詞 で::: 言葉::ことば:名詞 を::: 調べ:調べる:しらべ:動詞 ます::: 。:::
机	机::つくえ:名詞 の::: 上::うえ:名詞 に::: 本::ほん:名詞 が::: あり:ある::動詞 ます::: 。:::
椅子	椅子::いす:名詞 に::: 座っ:座る:すわっ:動詞 て::: ください:くださる::動詞 。:::
電車	電車::でんしゃ:名詞 で::: 会社::かいしゃ:名詞 へ::: 行き:行く:いき:動詞 ます::: 。:::
車	父::ちち:名詞 は::: 車::くるま:名詞 を::: 運転::うんてん:名詞 し:する::動詞 ます::: 。:::
自転車	自転車::じてんしゃ:名詞 で::: 駅::えき:名詞 まで::: 行き:行く:いき:動詞 ます::: 。:::
お金	お金::おかね:名詞 が::: 少し::すこし:副詞 しか::: あり:ある::動詞 ませ:ます:: ん::: 。:::
名前	ここ:::名詞 に::: 名前::なまえ:名詞 を::: 書い:書く:かい:動詞 て::: ください:くださる::動詞 。:::
言葉	この::: 言葉::ことば:名詞 の::: 意味::いみ:名詞 は::: 何::なに:名詞 です::: か::: 。:::
水	水::みず:名詞 を::: 一杯::いっぱい:副詞 ください:くださる::動詞 。:::
お茶	お茶::おちゃ:名詞 を::: 飲み:飲む:のみ:動詞 ませ:ます:: ん::: か::: 。:::
コーヒー	毎朝::まいあさ:名詞 コーヒー::こーひー:名詞 を::: 飲み:飲む:のみ:動詞 ます::: 。:::
ご飯	ご飯::ごはん:名詞 は::: もう:::副詞 食べ:食べる:たべ:動詞 まし:ます:: た::: 。:::
パン	朝::あさ:名詞 は::: パン::ぱん:名詞 を::: 食べ:食べる:たべ:動詞 ます::: 。:::
肉	肉::にく:名詞 より::: 魚::さかな:名詞 が::: 好き::すき:名詞 です::: 。:::
魚	この::: 魚::さかな:名詞 は::: 新しい::あたらしい:形容詞 です::: 。:::
野菜	野菜::やさい:名詞 を::: たくさん:::名詞 食べ:食べる:たべ:動詞 ます::: 。:::
果物	果物::くだもの:名詞 は::: 体::からだ:名詞 に::: いい:::形容詞 です::: 。:::
卵	卵::たまご:名詞 を::: 二つ::ふたつ:名詞 使い:使う:つかい:動詞 ます::: 。:::
牛乳	毎日::まいにち:名詞 牛乳::ぎゅうにゅう:名詞 を::: 飲み:飲む:のみ:動詞 ます::: 。:::
お酒	お::: 酒::さけ:名詞 は::: あまり:::副詞 飲み:飲む:のみ:動詞 ませ:ます:: ん::: 。:::
朝ご飯	朝::あさ:名詞 ご飯::ごはん:名詞 を::: 食べ:食べる:たべ:動詞 ませ:ます:: ん::: でし:です:: た::: 。:::
昼ご飯	昼::ひる:名詞 ご飯::ごはん:名詞 は::: 会社::かいしゃ:名詞 で::: 食べ:食べる:たべ:動詞 ます::: 。:::
晩ご飯	晩::ばん:名詞 ご飯::ごはん:名詞 を::: 作り:作る:つくり:動詞 ましょ:ます:: う::: 。:::
天気	今日::きょう:名詞 は::: 天気::てんき:名詞 が::: 悪い::わるい:形容詞 です::: 。:::
雨	雨::あめ:名詞 が::: 降っ:降る:ふっ:動詞 て::: い:いる::動詞 ます::: 。:::
雪	北::きた:名詞 の::: 町::まち:名詞 は::: 雪::ゆき:名詞 が::: 多い::おおい:形容詞 です::: 。:::
風	風::かぜ:名詞 が::: 強く:強い:つよく:形容詞 なり:なる::動詞 まし:ます:: た::: 。:::
空	空::そら:名詞 が::: 青く:青い:あおく:形容詞 て::: 綺麗::きれい:名詞 です::: 。:::
海	夏::なつ:名詞 は::: 海::うみ:名詞 で::: 泳ぎ:泳ぐ:およぎ:動詞 ます::: 。:::
山	あの::: 山::やま:名詞 は::: 高い::たかい:形容詞 です::: 。:::
花	庭::にわ:名詞 に::: 花::はな:名詞 が::: 咲き:咲く:さき:動詞 まし:ます:: た::: 。:::
木	公園::こうえん:名詞 に::: 大きい::おおきい:形容詞 木::き:名詞 が::: あり:ある::動詞 ます::: 。:::
犬	犬::いぬ:名詞 と::: 一緒::いっしょ:名詞 に::: 散歩::さんぽ:名詞 し:する::動詞 ます::: 。:::
猫	猫::ねこ:名詞 が::: 椅子::いす:名詞 の::: 下::した:名詞 に::: い:いる::動詞 ます::: 。:::
鳥	朝::あさ:名詞 、::: 鳥::とり:名詞 の::: 声::こえ:名詞 が::: 聞こえ:聞こえる:きこえ:動詞 ます::: 。:::
行く	毎朝::まいあさ:名詞 学校::がっこう:名詞 へ::: 行き:行く:いき:動詞 ます::: 。:::
来る	友達::ともだち:名詞 が::: 家::いえ:名詞 に::: 来:来る:き:動詞 ます::: 。:::
帰る	六::ろく:名詞 時::じ:名詞 に::: 家::いえ:名詞 へ::: 帰り:帰る:かえり:動詞 ます::: 。:::
食べる	昼::ひる:名詞 ご飯::ごはん:名詞 を::: 食べ:食べる:たべ:動詞 まし:ます:: た::: 。:::
飲む	水::みず:名詞 を::: たくさん:::名詞 飲み:飲む:のみ:動詞 ます::: 。:::
見る	テレビ::てれび:名詞 で::: ニュース::にゅーす:名詞 を::: 見:見る:み:動詞 ます::: 。:::
聞く	先生::せんせい:名詞 に::: 道::みち:名詞 を::: 聞き:聞く:きき:動詞 まし:ます:: た::: 。:::
話す	日本語::にほんご:名詞 で::: 話し:話す:はなし:動詞 ましょ:ます:: う::: 。:::
読む	毎晩::まいばん:名詞 本::ほん:名詞 を::: 読み:読む:よみ:動詞 ます::: 。:::
書く	手紙::てがみ:名詞 を::: 書い:書く:かい:動詞 て::: い:いる::動詞 ます::: 。:::
買う	店::みせ:名詞 で::: パン::ぱん:名詞 を::: 買い:買う:かい:動詞 まし:ます:: た::: 。:::
する	週末::しゅうまつ:名詞 は::: 何::なに:名詞 を::: し:する::動詞 ます::: か::: 。:::
寝る	昨日::きのう:名詞 は::: 早く:早い:はやく:形容詞 寝:寝る:ね:動詞 まし:ます:: た::: 。:::
起きる	今朝::けさ:名詞 六::ろく:名詞 時::じ:名詞 に::: 起き:起きる:おき:動詞 まし:ます:: た::: 。:::
働く	父::ちち:名詞 は::: 銀行::ぎんこう:名詞 で::: 働い:働く:はたらい:動詞 て::: い:いる::動詞 ます::: 。:::
休む	今日::きょう:名詞 は::: 会社::かいしゃ:名詞 を::: 休み:休む:やすみ:動詞 ます::: 。:::
待つ	駅::えき:名詞 で::: 三::さん:名詞 十::じゅう:名詞 分::ふん:名詞 待ち:待つ:まち:動詞 まし:ます:: た::: 。:::
会う	明日::あした:名詞 友達::ともだち:名詞 に::: 会い:会う:あい:動詞 ます::: 。:::
作る	母::はは:名詞 が::: 料理::りょうり:名詞 を::: 作り:作る:つくり:動詞 ます::: 。:::
使う	この::: 辞書::じしょ:名詞 を::: 使っ:使う:つかっ:動詞 て::: ください:くださる::動詞 。:::
分かる	意味::いみ:名詞 が::: 分かり:分かる:わかり:動詞 ませ:ます:: ん::: 。:::
歩く	駅::えき:名詞 まで::: 歩き:歩く:あるき:動詞 まし:ます:: た::: 。:::
走る	公園::こうえん:名詞 を::: 走っ:走る:はしっ:動詞 て::: い:いる::動詞 ます::: 。:::
遊ぶ	子供::こども:名詞 が::: 外::そと:名詞 で::: 遊ん:遊ぶ:あそん:動詞 で::: い:いる::動詞 ます::: 。:::
泳ぐ	海::うみ:名詞 で::: 泳ぎ:泳ぐ:およぎ:動詞 たい::: です::: 。:::
入る	部屋::へや:名詞 に::: 入っ:入る:はいっ:動詞 て::: も::: いい:::形容詞 です::: か::: 。:::
出る	八::はち:名詞 時::じ:名詞 に::: 家::いえ:名詞 を::: 出:出る:で:動詞 ます::: 。:::
乗る	駅::えき:名詞 で::: 電車::でんしゃ:名詞 に::: 乗り:乗る:のり:動詞 ます::: 。:::
降りる	次::つぎ:名詞 の::: 駅::えき:名詞 で::: 降り:降りる:おり:動詞 ます::: 。:::
教える	先生::せんせい:名詞 が::: 日本語::にほんご:名詞 を::: 教え:教える:おしえ:動詞 ます::: 。:::
覚える	新しい::あたらしい:形容詞 言葉::ことば:名詞 を::: 覚え:覚える:おぼえ:動詞 まし:ます:: た::: 。:::
忘れる	傘::かさ:名詞 を::: 電車::でんしゃ:名詞 に::: 忘れ:忘れる:わすれ:動詞 まし:ます:: た::: 。:::
借りる	図書館::としょかん:名詞 で::: 本::ほん:名詞 を::: 借り:借りる:かり:動詞 ます::: 。:::
開ける	窓::まど:名詞 を::: 開け:開ける:あけ:動詞 て::: ください:くださる::動詞 。:::
閉める	寒い::さむい:形容詞 ので::: ドア::どあ:名詞 を::: 閉め:閉める:しめ:動詞 ます::: 。:::
立つ	学生::がくせい:名詞 が::: 全員::ぜんいん:名詞 立ち:立つ:たち:動詞 まし:ます:: た::: 。:::
座る	どうぞ:::副詞 ここ:::名詞 に::: 座っ:座る:すわっ:動詞 て::: ください:くださる::動詞 。:::
持つ	鞄::かばん:名詞 を::: 持ち:持つ:もち:動詞 ましょ:ます:: う::: か::: 。:::
取る	塩::しお:名詞 を::: 取っ:取る:とっ:動詞 て::: ください:くださる::動詞 。:::
売る	あの::: 店::みせ:名詞 は::: 果物::くだもの:名詞 を::: 売っ:売る:うっ:動詞 て::: い:いる::動詞 ます::: 。:::
住む	東京::とうきょう:名詞 に::: 住ん:住む:すん:動詞 で::: い:いる::動詞 ます::: 。:::
降る	朝::あさ:名詞 から::: 雨::あめ:名詞 が::: 降っ:降る:ふっ:動詞 て::: い:いる::動詞 ます::: 。:::
